t,Gz,,,,,
0.00,0.80,,,,,
4.93,1.03,,,,,
5.82,1.56,,,,,
7.61,2.10,,,,,
13.88,3.66,,,,,
18.36,3.24,,,,,
20.60,2.39,,,,,
24.63,1.03,,,,,
31.79,0.90,,,,,
36.72,0.82,,,,,
41.19,0.73,,,,,
50.60,0.68,,,,,
56.42,0.68,,,,,
58.21,0.68,,,,,
62.69,0.68,,,,,
69.85,0.68,,,,,
70.30,0.69,,,,,
100.30,0.69,,,,,
149.55,0.69,,,,,
200.15,0.69,,,,,
244.93,0.69,,,,,
294.18,0.75,,,,,
300.00,0.76,,,,,
307.16,0.76,,,,,
313.43,0.76,,,,,
316.57,0.82,,,,,
319.25,0.93,,,,,
324.80,2.00,,,,,
326.87,2.98,,,,,
329.10,4.20,,,,,
331.34,4.99,,,,,
334.48,5.75,,,,,
335.37,5.98,,,,,
336.27,6.01,,,,,
337.61,5.90,,,,,
338.96,5.40,,,,,
339.85,5.01,,,,,
343.43,4.00,,,,,
348.81,3.00,,,,,
355.07,1.99,,,,,
359.55,1.62,,,,,
367.61,1.37,,,,,
373.88,1.27,,,,,
375.67,1.22,,,,,
378.36,1.19,,,,,
380.60,1.07,,,,,
382.84,1.00,,,,,
383.28,1.01,,,,,
383.73,1.01,,,,,
384.18,1.01,,,,,
384.63,1.01,,,,,
385.07,1.01,,,,,
385.52,1.02,,,,,
385.97,1.02,,,,,
386.42,1.02,,,,,
386.87,1.02,,,,,
387.31,1.03,,,,,
387.76,1.03,,,,,
388.21,1.03,,,,,
388.66,1.03,,,,,
389.10,1.03,,,,,
389.55,1.04,,,,,
390.00,1.02,,,,,
390.45,0.95,,,,,
390.90,0.88,,,,,
391.34,0.81,,,,,
391.79,0.74,,,,,
392.24,0.67,,,,,
392.69,0.60,,,,,
393.13,0.53,,,,,
393.58,0.46,,,,,
394.03,0.57,,,,,
394.48,0.68,,,,,
394.93,0.79,,,,,
395.37,0.90,,,,,
395.82,1.01,,,,,
396.27,1.12,,,,,
396.72,1.23,,,,,
397.16,1.34,,,,,
397.61,1.45,,,,,
398.06,1.56,,,,,
398.51,1.67,,,,,
398.96,1.78,,,,,
399.40,1.89,,,,,
399.85,1.92,,,,,
400.30,1.96,,,,,
400.75,1.99,,,,,
401.19,2.02,,,,,
401.64,2.05,,,,,
402.09,2.08,,,,,
402.54,2.12,,,,,
402.99,2.15,,,,,
403.43,2.18,,,,,
403.88,2.19,,,,,
404.33,2.21,,,,,
404.78,2.22,,,,,
405.22,2.23,,,,,
405.67,2.25,,,,,
406.12,2.26,,,,,
406.57,2.26,,,,,
407.01,2.25,,,,,
407.46,2.25,,,,,
407.91,2.24,,,,,
408.36,2.24,,,,,
408.81,2.23,,,,,
409.25,2.23,,,,,
409.70,2.15,,,,,
410.15,2.07,,,,,
410.60,1.99,,,,,
411.04,1.79,,,,,
411.49,1.59,,,,,
411.94,1.39,,,,,
412.39,1.19,,,,,
412.84,1.00,,,,,
413.28,0.92,,,,,
413.73,0.84,,,,,
414.18,0.77,,,,,
414.63,0.69,,,,,
415.07,0.73,,,,,
415.52,0.77,,,,,
415.97,0.81,,,,,
416.42,0.84,,,,,
416.87,0.88,,,,,
417.31,0.92,,,,,
417.76,0.96,,,,,
418.21,1.00,,,,,
418.66,1.01,,,,,
419.10,1.03,,,,,
419.55,1.04,,,,,
420.00,1.05,,,,,
420.45,1.01,,,,,
420.90,1.03,,,,,
421.34,1.03,,,,,
421.79,1.02,,,,,
422.24,1.01,,,,,
422.69,1.00,,,,,
423.13,0.99,,,,,
423.58,0.98,,,,,
424.03,0.98,,,,,
424.48,0.97,,,,,
424.93,0.96,,,,,
425.37,0.96,,,,,
425.82,0.97,,,,,
426.27,0.97,,,,,
426.72,0.98,,,,,
427.16,0.98,,,,,
427.61,0.98,,,,,
428.06,0.99,,,,,
428.51,0.99,,,,,
428.96,0.99,,,,,
429.40,0.99,,,,,
429.85,0.99,,,,,
430.30,0.99,,,,,
430.75,0.99,,,,,
431.19,0.99,,,,,
431.64,0.99,,,,,
432.09,0.99,,,,,
432.54,0.99,,,,,
432.99,0.99,,,,,
433.43,0.99,,,,,
433.88,0.99,,,,,
434.33,0.99,,,,,
434.78,0.99,,,,,
435.22,0.99,,,,,
435.67,0.99,,,,,
436.12,0.99,,,,,
436.57,0.99,,,,,
437.01,0.99,,,,,
437.46,0.99,,,,,
437.91,0.99,,,,,
438.36,0.99,,,,,
438.81,0.99,,,,,
439.25,0.99,,,,,
439.70,0.99,,,,,
440.15,0.99,,,,,
440.60,0.99,,,,,
441.04,0.99,,,,,
441.49,0.99,,,,,
441.94,0.99,,,,,
442.39,0.99,,,,,
442.84,0.99,,,,,
443.28,0.99,,,,,
443.73,0.99,,,,,
444.18,0.99,,,,,
444.63,0.99,,,,,
445.07,0.99,,,,,
445.52,0.99,,,,,
445.97,0.99,,,,,
446.42,0.99,,,,,
446.87,0.99,,,,,
447.31,0.99,,,,,
447.76,0.99,,,,,
448.21,0.99,,,,,
448.66,0.99,,,,,
449.10,0.99,,,,,
449.55,0.99,,,,,
450.00,0.99,,,,,
